1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
27,'Minnesota',93513          ,'County Highway Agency','137','St. Louis County','12736','0','No Place Code',1980,5,'Steel','Stringer/Multi-beam or Girder',1,32.5,'WATER HEN CREEK         ','CR 344            ','Fair',45,969.7
27,'Minnesota',7220           ,'County Highway Agency','013','Blue Earth County','56824','56824','St. Clair city',1958,628,'Steel Continuous','Stringer/Multi-beam or Girder',3,135.2,'LE SUEUR RIVER          ','CSAH 28           ','Fair',67,4168.6
27,'Minnesota',27W09          ,'State Highway Agency','053','Hennepin County','68818','43252','Minnetonka city',2014,3275,'Prestressed Concrete','Stringer/Multi-beam or Girder',5,559.7,'RIDGEDALE DR            ','CON 7566          ','Good',11,15241.5
27,'Minnesota',27120          ,'State Highway Agency','053','Hennepin County','43252','43252','Minnetonka city',1973,27831,'Prestressed Concrete','Stringer/Multi-beam or Girder',2,180.1,'Ridgedale Drive         ','I 394             ','Fair',52,10932.4
27,'Minnesota',27117          ,'State Highway Agency','053','Hennepin County','43252','43252','Minnetonka city',1988,40500,'Prestressed Concrete','Stringer/Multi-beam or Girder',2,180.1,'Ridgedale Drive         ','I 394             ','Fair',37,10932.4
27,'Minnesota',89981          ,'County Highway Agency','017','Carlton County','43972','0','No Place Code',1974,128,'Concrete','Culvert',3,28.9,'PORTAGE RIVER           ','CSAH 13           ','Poor',50,928.3
27,'Minnesota',91009          ,'State Highway Agency','115','Pine County','43486','0','No Place Code',1964,8848,'Concrete','Culvert',3,33.5,'MISSION CREEK           ','I 35              ','Fair',61,1240.6
27,'Minnesota',6752           ,'State Highway Agency','003','Anoka County','17486','17486','East Bethel city',1951,20629,'Concrete','Culvert',2,23.3,'Cedar Creek             ','MN 65             ','Fair',74,3026.4
27,'Minnesota',93376          ,'County Highway Agency','137','St. Louis County','30932','0','No Place Code',1978,30,'Concrete','Culvert',2,25.6,'BEAR TRAP RIVER         ','CR 694            ','Fair',47,612.9
27,'Minnesota',L5359          ,'Town or Township Highway Agency','043','Faribault County','6706','','',1909,10,'Steel','Truss - Thru',1,46.3,'COON CREEK              ','395 AVE           ','Poor',109,713.3
27,'Minnesota',93190          ,'City or Municipal Highway Agency','053','Hennepin County','7966','','',1976,2600,'Steel','Culvert',1,29.5,'SHINGLE CREEK           ','CANDLEWOOD DR     ','Fair',44,1356.3
27,'Minnesota',R0726          ,'Town or Township Highway Agency','115','Pine County','70780','0','No Place Code',1960,1,'Steel','Stringer/Multi-beam or Girder',1,43,'STURGEON ISLAND CHANNEL ','T 1065            ','Poor',63,775.5
27,'Minnesota',58527          ,'County Highway Agency','115','Pine County','51784','0','No Place Code',1983,2569,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,83.7,'MISSION CREEK           ','CSAH 11           ','Good',42,3623.1
27,'Minnesota',27555          ,'State Highway Agency','053','Hennepin County','51730','51730','Plymouth city',1973,14000,'Prestressed Concrete','Stringer/Multi-beam or Girder',2,188.3,'US 169                  ','MSAS 165          ','Fair',52,12109.8
