1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
56,'Wyoming',ERJ            ,'County Highway Agency','041','Uinta County','0','0','No Place Code',1940,73,'Concrete','Tee Beam',1,32.8,'Uinta Ditch No. 3       ','Ui Cnty Rd 222    ','Poor',85,678.1
56,'Wyoming',EUV            ,'State Highway Agency','013','Fremont County','0','0','No Place Code',1983,4330,'Steel Continuous','Stringer/Multi-beam or Girder',2,118.1,'Jakeys Fork River       ','US 26             ','Good',42,5037.5
56,'Wyoming',CWI            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1960,177,'Concrete Continuous','Culvert',2,20.7,'Blacks Fork Creek OvrFlo','WYO 410           ','Fair',65,576.4
56,'Wyoming',CWJ            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1960,177,'Concrete Continuous','Slab',4,121.1,'Blacks Fork Creek       ','WYO 410           ','Fair',65,4011.6
56,'Wyoming',MWI            ,'State Highway Agency','035','Sublette County','0','0','No Place Code',2017,911,'Steel Continuous','Stringer/Multi-beam or Girder',3,259.8,'Green River             ','WYO 351           ','Good',8,9718.5
56,'Wyoming',CWK            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1960,177,'Concrete Continuous','Slab',3,62,'Blacks Fork Creek OvrFlo','WYO 410           ','Fair',65,2054.7
56,'Wyoming',KKK            ,'County Highway Agency','029','Park County','0','0','No Place Code',1995,91,'Concrete','Culvert',3,52.5,'Cody Canal              ','Pa Cnty Rd 6QS    ','Fair',30,1412.2
56,'Wyoming',FLN            ,'State Highway Agency','029','Park County','0','0','No Place Code',1989,1342,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,81,'Cottonwood Creek        ','WYO 120           ','Fair',36,3482.9
56,'Wyoming',      WYA-S-001,'Bureau of Reclamation','029','Park County','0','0','No Place Code',1986,100,'Steel','Stringer/Multi-beam or Girder',3,276.2,'Shoshone River          ','Reclamation Road  ','Fair',39,5619.2
56,'Wyoming',ANM            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1969,6947,'Concrete Continuous','Box Beam or Girders - Multiple',2,210,'I-80 Bus                ','I-80 EBL          ','Fair',56,8542.2
56,'Wyoming',ANN            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1969,6567,'Concrete Continuous','Box Beam or Girders - Multiple',2,210,'I-80 Bus                ','I-80 WBL          ','Fair',56,8542.2
56,'Wyoming',MSA            ,'County Highway Agency','035','Sublette County','0','0','No Place Code',2013,898,'Concrete','Culvert',1,24.3,'Highland Canal          ','Sb Cnty Rd 154    ','Good',12,1322.2
56,'Wyoming',LDW            ,'County Highway Agency','013','Fremont County','0','0','No Place Code',2002,201,'Steel','Stringer/Multi-beam or Girder',2,112.9,'Big Wind River          ','Fr Cnty Rd 239    ','Fair',23,2258.7
56,'Wyoming',KIK            ,'County Highway Agency','035','Sublette County','0','0','No Place Code',1995,869,'Steel','Stringer/Multi-beam or Girder',1,61,'New Fork River          ','Sb Cnty Rd 123    ','Poor',30,1481.5
56,'Wyoming',FHI            ,'County Highway Agency','035','Sublette County','0','0','No Place Code',1988,869,'Steel Continuous','Stringer/Multi-beam or Girder',3,100.1,'Pine Creek Overflow     ','Sb Cnty Rd 123    ','Fair',37,2856.2
