1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
38,'North Dakota',000000010119030,'County Highway Agency','019','Cavalier County','0','0','No Place Code',1998,50,'Steel','Culvert',3,36.4,'SNOWFLAKE CREEK         ','COUNTY HIGHWAY    ','Good',27,585.4
38,'North Dakota',000000014104090,'County Highway Agency','027','Eddy County','0','0','No Place Code',1989,20,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,94.2,'N ROCKFORD CANAL NR2-5  ','COUNTY HIGHWAY    ','Good',36,2873
38,'North Dakota',000000010118040,'County Highway Agency','019','Cavalier County','0','0','No Place Code',2016,152,'Concrete','Culvert',2,30.8,'EAST SNOWFLAKE CREEK    ','COUNTY HIGHWAY    ','Good',9,860
38,'North Dakota',000000015135250,'County Highway Agency','029','Emmons County','0','0','No Place Code',2012,24,'Concrete','Culvert',2,25.9,'BEAVER CREEK            ','79th St SE        ','Good',13,1607.2
38,'North Dakota',0013216299     ,'State Highway Agency','029','Emmons County','0','0','No Place Code',1961,420,'Concrete Continuous','Tee Beam',3,120.1,'BEAVER CREEK            ','ND HIGHWAY 13     ','Fair',64,4294.2
38,'North Dakota',000000015133270,'County Highway Agency','029','Emmons County','0','0','No Place Code',2000,25,'Prestressed Concrete','Box Beam or Girders - Single or Spread',1,82,'BEAVER CREEK            ','22nd Ave SE       ','Good',25,2529.5
38,'North Dakota',000000015131330,'County Highway Agency','029','Emmons County','0','0','No Place Code',1968,52,'Prestressed Concrete','Box Beam or Girders - Multiple',1,55.1,'S Branch Beaver Creek   ','20th Ave SE       ','Fair',57,1663.7
38,'North Dakota',000000010117040,'County Highway Agency','019','Cavalier County','0','0','No Place Code',1997,24,'Concrete','Culvert',3,32.2,'SNOWFLAKE CREEK         ','COUNTY HIGHWAY    ','Fair',28,770
38,'North Dakota',000000036112160,'County Highway Agency','071','Ramsey County','0','0','No Place Code',1991,20,'Prestressed Concrete','Tee Beam',1,47.9,'COULEE                  ','COUNTY HIGHWAY    ','Fair',34,1540.1
38,'North Dakota',000000052136200,'County Highway Agency','103','Wells County','0','0','No Place Code',2003,20,'Concrete','Culvert',2,30.8,'ROCKY RUN CREEK         ','COUNTY HIGHWAY    ','Good',22,738.6
