1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
2,'Alaska',100320000001082,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,34.1,'NO DATA ENTERED         ','LOGGING ROAD      ','',119,0
2,'Alaska',100310000001420,'','220','Sitka City and Borough','0','','',1993,50,'','',1,44,'STREAM                  ','LOGGING ROAD      ','',26,793.3
2,'Alaska',100310000001422,'U.S. Forest Service','220','Sitka City and Borough','0','70540','Sitka city and borough',1993,0,'Steel','Stringer/Multi-beam or Girder',1,49.9,'MURI CREEK              ','LOGGING ROAD      ','Good',32,801.7
2,'Alaska',100320000001309,'U.S. Forest Service','220','Sitka City and Borough','0','','',1988,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,47.9,'STREAM                  ','LOGGING ROAD      ','',31,0
2,'Alaska',100320000001312,'U.S. Forest Service','220','Sitka City and Borough','0','','',1987,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,45.9,'STREAM                  ','LOGGING ROAD      ','',32,0
2,'Alaska',100540000001109,'U.S. Forest Service','201','201','0','','',1992,5,'Steel','Box Beam or Girders - Multiple',1,60,'MOD                     ','3018200           ','Good',27,1083.4
2,'Alaska',100310000001128,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,20,'FISH CREEK              ','LOGGING ROAD      ','',119,0
2,'Alaska',100310000001302,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,29.9,'FISH CREEK              ','LOGGING ROAD      ','',119,0
2,'Alaska',100310000001093,'U.S. Forest Service','220','Sitka City and Borough','0','','',1978,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,56.1,'SMALL STREAM            ','LOGGING ROAD      ','Poor',41,0
2,'Alaska',100320000001234,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,40,'SMALL CREEK             ','LOGGING ROAD      ','',119,0
2,'Alaska',            703,'National Park Service','290','Yukon-Koyukuk Census Area','0','','',1956,300,'Steel','Stringer/Multi-beam or Girder',3,199.1,'         SANCTUARY RIVER','  DENALI PARK ROAD','Good',63,5684.3
2,'Alaska',            752,'National Park Service','290','Yukon-Koyukuk Census Area','0','','',1960,300,'Steel','Stringer/Multi-beam or Girder',3,139.1,'         GHIGLIONE CREEK','  DENALI PARK ROAD','Fair',59,4518.3
2,'Alaska',            704,'National Park Service','290','Yukon-Koyukuk Census Area','0','','',1955,300,'Steel','Stringer/Multi-beam or Girder',6,334,'         TEKLANIKA RIVER','  DENALI PARK ROAD','Fair',64,9533.2
2,'Alaska',100540000001036,'U.S. Forest Service','201','201','0','','',1987,5,'Wood or Timber','Stringer/Multi-beam or Girder',1,66.9,'PERM                    ','2051100           ','Good',32,1097.9
